department,day,population,encounters
""10"",2007-12-31,1802,1338
""10"",2008-01-31,1852,1656
""10"",2008-03-31,1954,1667
""10"",2008-04-30,2004,1659
""10"",2008-06-30,2102,1305
""10"",2008-07-31,2149,1362
""10"",2008-09-30,2256,1477
""10"",2008-10-31,2310,1569
""10"",2008-12-31,2398,1809
""10"",2009-01-31,2436,1737
""10"",2009-03-31,2508,2127
""10"",2009-04-30,2572,2161
""10"",2009-05-31,2619,2107
""10"",2009-06-30,2655,2084
""10"",2009-07-31,2720,2088
""10"",2009-08-31,2781,2596
""10"",2009-09-30,2844,2114
""10"",2009-10-31,2877,2455
""10"",2009-11-30,2937,2124
""10"",2009-12-31,2975,2458
""10"",2010-01-31,3013,1666
""10"",2010-02-28,3057,2039
""10"",2010-03-31,3099,2571
""10"",2010-04-30,3145,2334
""10"",2010-05-31,3191,2266
""10"",2010-06-30,3228,2517
""10"",2010-07-31,3263,2279
""10"",2010-08-31,3301,2483
""10"",2010-09-30,3342,2248
""10"",2010-10-31,3380,2440
""10"",2010-11-30,3412,1910
""10"",2010-12-31,3441,1871
""10"",2011-01-31,3479,2137
""10"",2011-02-28,3528,2175
""10"",2011-03-31,3563,2451
""10"",2011-04-30,3604,2446
""10"",2011-05-31,3662,2474
""10"",2011-06-30,3696,2662
""10"",2011-07-31,3735,2772
""10"",2011-08-31,3775,2836
""10"",2011-09-30,3824,3098
""10"",2011-10-31,3859,2919
""10"",2011-11-30,3899,2961
""10"",2011-12-31,3951,3051
""10"",2012-01-31,4013,3122
